Unnamed: 0,datetime,open,high,low,close,volume,30_day_MA,150_day_MA,RSI,upper_band,middle_band,lower_band,trade_type,signals
0,2019-09-08 16:00:00,10000.0,10412.65,10000.0,10391.63,3096.291,10391.63,10391.63,,,,,,0
1,2019-09-09 00:00:00,10316.62,10316.68,10092.71,10270.55,3444.238,10294.766,10363.140588235294,,,,,short,-1
2,2019-09-09 08:00:00,10149.47,10475.54,10077.22,10285.12,5852.5,10287.049200000001,10344.782802768164,,,,,,0
3,2019-09-09 16:00:00,10314.26,10420.65,10183.31,10290.59,5527.635,10289.88184,10332.031555058007,,,,,close,1
4,2019-09-10 00:00:00,10307.0,10382.97,10226.81,10286.964,3253.538,10287.547568,10321.427424456122,,,,,short,-1
5,2019-09-10 08:00:00,10271.93,10290.01,10167.91,10268.986666666666,2938.811,10272.698846933334,10309.088422623308,,,,,,0
6,2019-09-10 16:00:00,10172.13,10237.41,9940.87,10245.134285714286,2876.606,10250.647197958097,10294.04039040942,,,,,,0
7,2019-09-11 00:00:00,10094.27,10293.11,9884.31,10222.925,2794.485,10228.46943959162,10277.307357371908,,,,,,0
8,2019-09-11 08:00:00,10068.41,10138.01,9973.15,10197.248888888887,2857.85,10203.492999029433,10258.47007067002,,,,,,0
9,2019-09-11 16:00:00,9992.18,10184.66,9934.11,10193.479,5245.587,10195.481799805886,10243.178054041779,,,,,,0
10,2019-09-12 00:00:00,10163.06,10205.46,10042.12,10183.068181818182,5206.923,10185.550905415723,10229.034554695048,,,,,,0
11,2019-09-12 08:00:00,10079.76,10365.15,10076.95,10195.0275,5060.512,10193.132181083145,10221.032894766802,,,,,close,1
12,2019-09-12 16:00:00,10327.25,10450.13,10239.42,10211.958461538461,5342.199,10208.193205447398,10218.897734007192,,,,,,0
13,2019-09-13 00:00:00,10414.96,10440.55,10267.89,10217.106428571427,6073.277,10215.323783946622,10218.476250375246,19.130548440219442,,,,,0
14,2019-09-13 08:00:00,10283.68,10344.0,10251.99,10222.404,6900.472,10220.987956789326,10219.40042675754,20.61820457017845,,,,long,1
15,2019-09-13 16:00:00,10294.81,10355.85,10153.51,10229.8375,6278.972,10228.067591357865,10221.856208696941,38.32322760890011,,,,,0
16,2019-09-14 00:00:00,10343.01,10353.72,10259.75,10234.945294117648,6271.185,10233.569753565691,10224.935993501813,34.783456247370665,,,,,0
17,2019-09-14 08:00:00,10319.07,10396.4,10222.77,10241.781666666668,7476.253,10240.139284046472,10228.899681305307,35.31950420770883,,,,,0
18,2019-09-14 16:00:00,10355.61,10419.97,10317.39,10246.543157894737,6909.186,10245.262383125084,10233.051087561642,37.92476241617631,,,,,0
19,2019-09-15 00:00:00,10333.47,10359.2,10024.81,10249.664,6558.73,10248.783676625017,10236.960008135373,43.66529358796402,10339.02419916904,10244.248201593848,10149.472204018655,,0
20,2019-09-15 08:00:00,10308.08,10320.0,10252.28,10252.364285714286,7005.913,10251.648163896432,10240.584544036294,52.75193304128846,10302.240861296865,10237.284915879562,10172.328970462258,,0
21,2019-09-15 16:00:00,10306.79,10332.61,10265.32,10254.630454545455,6971.612,10254.033996415652,10243.889464156096,64.22801706905193,10300.10486810436,10236.488938606835,10172.873009109311,,0
22,2019-09-16 00:00:00,10302.0,10353.81,10279.69,10256.703043478261,6622.45,10256.16923406574,10246.904423996606,83.85171641468364,10295.289505996583,10235.06809078075,10174.846675564915,,0
23,2019-09-16 08:00:00,10301.95,10316.71,10115.0,10251.01,6661.501,10252.041846813148,10247.870441879757,82.05472390929272,10287.994891042928,10233.089090780748,10178.183290518567,close,-1
24,2019-09-16 16:00:00,10117.4,10329.38,10080.7,10250.9404,6901.686,10251.160689362629,10248.592784966873,92.74203456617339,10280.856260606557,10231.28791078075,10181.719560954942,,0
25,2019-09-17 00:00:00,10257.3,10261.36,10165.0,10243.3508,7409.545,10244.912777872525,10247.359376739372,82.2036021321029,10276.713061401206,10230.006117447414,10183.299173493622,short,-1
26,2019-09-17 08:00:00,10202.92,10244.27,10136.77,10245.4176,7651.013,10245.316635574505,10246.902488094813,77.80678377428293,10276.746713685596,10230.0202831617,10183.293852637806,close,1
27,2019-09-17 16:00:00,10201.09,10270.63,10171.37,10240.308,7459.049,10241.309727114902,10245.350843837208,69.29436317759368,10277.706754203557,10230.889433161701,10184.072112119846,short,-1
28,2019-09-18 00:00:00,10183.87,10256.65,10183.87,10235.9696,7004.982,10237.037625422981,10243.1434923461,61.46399964727134,10276.907926292703,10232.825468717256,10188.743011141809,,0
29,2019-09-18 08:00:00,10199.39,10210.0,10097.92,10231.9876,7260.597,10232.997605084596,10240.518576499959,51.92956649008148,10274.774342827859,10234.750898717257,10194.727454606655,,0
30,2019-09-18 16:00:00,10172.84,10212.25,10132.51,10231.03,6567.316,10231.423521016919,10238.285970264675,46.203490526998515,10269.058850942522,10237.148989626348,10205.239128310175,,0
31,2019-09-19 00:00:00,10154.7,10185.55,9530.02,10221.8444,8549.447,10223.760224203383,10234.417365496516,31.509990833968146,10264.69023519697,10238.489834626347,10212.289434055725,,0
32,2019-09-19 08:00:00,9872.71,9895.37,9820.0,10214.3604,7437.049,10216.240364840676,10229.698079497335,21.588137794844172,10264.315622481201,10238.609931549425,10212.904240617649,,0
33,2019-09-19 16:00:00,9882.0,10331.62,9875.25,10224.4988,10242.258,10222.847112968135,10228.474719615608,30.232723976232577,10263.571838729678,10238.979550120854,10214.387261512029,close,1
34,2019-09-20 00:00:00,10247.7,10279.3,10148.99,10224.3748,7937.551,10224.069262593626,10227.51003264723,27.086872439711314,10263.405089598346,10239.078090120853,10214.75109064336,,0
35,2019-09-20 08:00:00,10156.11,10236.19,10121.3,10228.4428,7520.545,10227.568092518726,10227.729507318469,29.176229144899466,10263.454590102798,10239.008355120854,10214.56212013891,,0
36,2019-09-20 16:00:00,10179.55,10189.13,10070.5,10222.0336,7807.814,10223.140498503746,10226.38929383177,24.210363446921576,10263.917605891944,10238.362770414971,10212.807934937999,short,-1
37,2019-09-21 00:00:00,10166.56,10175.3,9963.02,10208.624,8336.431,10211.527299700749,10222.209224694881,21.717174413205413,10265.43125402172,10236.704887081636,10207.978520141553,,0
38,2019-09-21 08:00:00,10081.07,10081.07,9912.63,10198.7472,7958.05,10201.30321994015,10216.688748296085,19.2037724983372,10267.240815826142,10234.3150891869,10201.38936254766,,0
39,2019-09-21 16:00:00,10037.05,10056.0,9943.05,10186.2176,7347.906,10189.23472398803,10209.519066344064,18.14593285429561,10269.60258724547,10231.1427691869,10192.682951128329,,0
40,2019-09-22 00:00:00,9992.7,10053.56,9857.0,10173.5052,8352.429,10176.651104797606,10201.045215439579,14.160350540044305,10272.125009970992,10227.199814901185,10182.274619831378,,0
41,2019-09-22 08:00:00,10024.91,10089.52,9932.01,10160.434,7572.348,10163.67742095952,10191.489635336147,13.119235216111747,10274.498863720713,10222.489992173912,10170.481120627112,,0
42,2019-09-22 16:00:00,9990.0,10073.46,9949.2,10147.0356,7991.577,10150.363964191904,10181.029862315878,12.106337795321707,10276.424618210349,10217.00662,10157.588621789651,,0
43,2019-09-23 00:00:00,10027.69,10046.91,9878.51,10129.9056,8550.014,10133.99727283838,10169.000624123906,10.88656406232333,10279.725495455901,10210.9514,10142.177304544099,,0
44,2019-09-23 08:00:00,9904.0,9968.49,9708.91,10112.229599999999,11051.515,10116.583134567674,10155.642736094751,9.650221583391001,10283.02518836311,10204.01586,10125.00653163689,,0
45,2019-09-23 16:00:00,9867.54,9883.89,9620.0,10088.0532,12325.533,10093.759186913536,10139.739315837161,8.758353678084887,10288.413291204384,10196.25098,10104.088668795617,,0
46,2019-09-24 00:00:00,9701.1,9792.83,9603.5,10066.1912,6874.185,10071.704797382707,10122.433876816653,8.04521412148506,10293.157571603499,10187.289659999999,10081.421748396499,,0
47,2019-09-24 08:00:00,9754.05,9768.0,9408.47,10035.299200000001,19298.555,10042.580319476543,10101.931599918616,2.061462807522375,10299.6655630189,10177.03922,10054.412876981101,,0
48,2019-09-24 16:00:00,8683.2,8689.49,8645.61,9976.320800000001,10.814,9989.57270389531,10072.376117584825,1.587883992349873,10312.643819516752,10164.05678,10015.46974048325,,0
